"GEOID","CountyFIPS","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","Tract_Generation","Tract_NAMEPCAP","Tract_PLNOXAN","Tract_PLSO2AN","Tract_PLCH4AN","Tract_UNNOX","Tract_UNSO2","Tract_UNCH4","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
"37065020700","37065","NC","Edgecombe",1918,227,9115,5,NA,NA,NA,NA,NA,NA,0.2268,0.8,0.8132,8.66,0,0.16,0,9.6,23.4,11.6,45.7,6.9,16.5,c(-77.623, 36.058)
"37065020800","37065","NC","Edgecombe",3324,372,169143,90,NA,NA,NA,NA,NA,NA,0.2151,0.8,0.8307,8.47,0,0.15,0,11.2,19,11.7,42.8,6.8,17.5,c(-77.457772, -77.481, -77.499167, 35.825182, 35.822, 35.858056)
"37065021300","37065","NC","Edgecombe",4942,488,179555,86.9,NA,NA,NA,NA,NA,NA,0.3719,0.8,0.797,8.78,0,0.18,0,12.9,18,10.8,38.6,6.7,16.1,c(-77.6731, -77.64, -77.615869, 35.9222, 35.9, 35.829572)
"37067002807","37067","NC","Forsyth",5269,403,2936,1.5,NA,NA,NA,NA,NA,NA,0.2205,0.4,0.587,8.91,0,0.22,0,9.1,18.4,10.1,36.8,7.4,14.7,c(-80.25463, 36.24634)
"37067002904","37067","NC","Forsyth",2285,195,24513,4.5,0,6.898,0,34.652,9.266,957.931,0.2945,0.4,0.4551,9.01,0.67,0.2,0,17,14.8,9.6,37.8,7.8,14.4,c(-80.183458, 36.191241)
"37067003103","37067","NC","Forsyth",5463,566,11394,2.4,0,2.401,0,110.07,3.225,333.353,0.2261,0,0.3803,9.22,0.67,0.21,0,9.9,17.7,8.8,29.8,6.7,12,c(-80.040555, 36.193611)
"37067003500","37067","NC","Forsyth",7565,690,32238,8.4,15.353,1.979,11465.107,201.738,25.999,150651.877,0.8609,0.8,0.9239,9.5,1.33,0.34,0,16.4,13.3,11,36.1,5.6,16.9,c(-80.227404, 36.033761)
"37067003803","37067","NC","Forsyth",5480,638,8797,5.2,NA,NA,NA,NA,NA,NA,0.3971,0.2,0.3916,9.41,1.33,0.28,0,7.9,17.9,9.3,33.3,7.5,12.7,c(-80.302, 36.0288)
"37069060100","37069","NC","Franklin",4744,403,5276,3.5,NA,NA,NA,NA,NA,NA,0.0571,0.8,0.9132,9.1,0,0.16,0,11.6,19.4,11.3,44,7.1,16.3,c(-78.25, 36.25)
"37069060200","37069","NC","Franklin",3704,356,22378,14,NA,NA,NA,NA,NA,NA,0.076,0.6,0.6714,8.95,0,0.16,0,8.9,19.8,10.3,41,7.6,14.9,c(-78.167778, -78.151987, -78.146944, -78.1525, 36.0975, 36.095572, 36.139444, 36.126944)
"37069060301","37069","NC","Franklin",6123,500,94708,50.2,NA,NA,NA,NA,NA,NA,0.1262,0.6,0.7387,9.2,0,0.18,0,4.3,23.4,10,40.3,7.7,13.3,c(-78.273106, 36.126912)
"37069060302","37069","NC","Franklin",2702,408,25161,13.7,NA,NA,NA,NA,NA,NA,0.4045,0.8,0.9925,9.33,0,0.23,0,11,22.4,12.1,48.2,6.9,18.1,c(-78.35, -78.308, -78.298796, 36.08, 36.057, 36.06936)
"37069060501","37069","NC","Franklin",7599,608,0,1,NA,NA,NA,NA,NA,NA,0.3854,0,0.3159,9.63,0,0.26,0,7.5,14.3,9.1,31.3,6.1,12.4,c(-78.516, 36.0205)
"37069060801","37069","NC","Franklin",4102,463,14732,9,NA,NA,NA,NA,NA,NA,0.0635,0.8,0.7532,9.35,0,0.19,0,18.1,11.3,10.5,37.6,5.7,15.7,c(-78.265, -78.250833, 35.969444, 35.948056)
"37071030301","37071","NC","Gaston",2723,405,27234.001,6,NA,NA,NA,NA,NA,NA,0.3345,0.2,0.6001,9.98,1,0.25,0,13.9,15.2,10.3,34.7,7.3,16,c(-81.172, -81.201002, 35.3857, 35.394254)
"37071030302","37071","NC","Gaston",2518,268,39802,25,NA,NA,NA,NA,NA,NA,0.4429,0.8,0.8784,10.03,0.67,0.29,0,11.3,17.8,10.6,35.2,6.9,17.2,c(-81.1343, 35.3224)
"37071030700","37071","NC","Gaston",3474,279,64,1.8,1.286,0.124,5.661,1.286,0.124,5.661,0.3695,0.6,0.5944,9.84,0.67,0.24,0,9.3,18,10.1,37.2,8.1,15.1,c(-81.38, 35.3778)
"37071030902","37071","NC","Gaston",3782,597,285,5.1,3.915,0.353,16.125,3.915,0.353,16.125,0.6446,0.8,0.906,10.03,0.67,0.36,0,12,12.9,11.1,36.3,6.1,17.6,c(-81.1414, 35.3119)
