"FIPS_Code","Unemployment_rate_2000","Unemployment_rate_2001","Unemployment_rate_2002","Unemployment_rate_2003","Unemployment_rate_2004","Unemployment_rate_2005","Unemployment_rate_2006","Unemployment_rate_2007","Unemployment_rate_2008","Unemployment_rate_2009","Unemployment_rate_2010","Unemployment_rate_2011","Unemployment_rate_2012","Unemployment_rate_2013","Unemployment_rate_2014","Unemployment_rate_2015","Unemployment_rate_2016","Unemployment_rate_2017","Unemployment_rate_2018","Unemployment_rate_2019","Unemployment_rate_2020","Unemployment_rate_2021","Unemployment_rate_2022"
4017,7.3,7.6,8.6,8.6,8.5,8,7.5,6.3,9.5,14.9,14.6,14.7,14.1,13.6,11.1,9.7,8.4,7.7,7.7,7.5,10,6.6,5.2
4019,3.7,4.3,5.8,5.4,4.6,4.5,4.1,3.6,5.5,8.8,9.3,8.4,7.4,6.8,6,5.5,5,4.6,4.4,4.5,7.6,5.1,3.8
4021,4.6,5.4,7.4,7,6,5.6,5.1,4.5,7,12,10.6,9.7,8.5,8.1,7,6.3,5.6,5.1,5,5,7.4,4.9,3.9
4023,8.2,8.7,10.2,9.6,9.5,8.6,7.8,7.2,10.4,15.4,15.2,15.4,15.5,15.5,13,11.5,10.2,9.6,9.2,8.6,11.3,8.8,7.5
4025,4,4.4,5.5,5.1,4.6,4.4,4.1,3.6,5.8,10.2,10.6,9.8,8.6,7.8,6.4,5.6,5,4.6,4.4,4.5,7.4,4.3,3.5
4027,16.4,16.6,17.1,17,15.7,15.9,15.2,13.7,17.4,22.5,25,24.1,23.9,25.6,22.9,21.8,19.1,17.2,16.9,16.7,17.1,13.1,12.5
5000,4.2,4.8,5.3,5.8,5.6,5.3,5.2,5.4,5.4,7.7,7.9,7.9,7.3,7.1,5.9,5,4,3.7,3.7,3.5,6.2,4.1,3.3
5001,4.5,4.5,6,5.4,5.9,7.1,7.7,8.9,9.7,15.5,17.9,11.6,8.4,7.1,5.2,4.1,3.4,3.3,3.3,3,4.1,3.4,3.3
5003,5.8,7.3,7.6,9.3,9.3,8.4,7.6,8.3,7.5,10.4,9.6,10.5,11.5,10.4,8.9,7.5,6.1,5.6,5.3,5.3,9.5,7.3,5.5
5005,4.1,5.3,6.3,6.5,6.1,5.6,5.4,5.5,6,9.2,9.1,8.9,8.1,7.8,6.5,5.4,4.3,4.3,4.1,4,6.1,3.8,3.6
5007,2.8,2.9,3.1,3.5,3.6,3.3,3.4,3.8,4.1,6.3,6.4,6.2,5.8,5.5,4.5,3.7,2.9,3,2.9,2.6,4.5,2.8,2.4
5009,4.1,5.1,5.5,5.7,5.8,5.1,5,5.1,5.4,7.4,7.5,7.6,7.3,6.8,5.8,4.8,3.7,3.5,3.5,3.1,5.4,3,2.9
5011,6.4,7,7.3,7.1,7.6,7.9,7.1,6.2,7.2,9.6,10.1,11.5,10.4,9.3,7.8,5.7,5,4.6,4.3,4.1,6,4.8,5
5013,5.4,5.5,6.3,7.7,6.7,6.9,7,6.8,6.1,8.3,8.4,9.1,8.6,7.9,6.4,5.3,4.6,3.9,3.8,4.3,5.3,3.4,3.1
5015,3.9,4,4.3,4.7,4.8,4.6,4.4,4.4,4.5,6,7.1,6.9,6.1,5.8,5.1,4.5,3.6,3.4,3.2,3.1,5.8,3.5,2.9
5017,7.2,8.6,9.7,10.3,10.8,10,8.5,8.4,8.2,11,11.9,12.6,10.9,11.3,10.2,9,6.6,6.6,6.7,6.8,10.7,8.5,6.2
5019,4.2,4.5,5.9,6.3,6.1,6.1,5.6,5.7,5.9,8,8.1,9.8,9.5,8.6,6.7,5.4,4.3,3.9,3.7,3.8,6.1,4.8,4.5
5021,5.3,6.8,7.3,7.9,7.9,8.4,8.2,9.4,8,11.2,10.6,11.6,10.6,9.5,7.7,6.5,5.7,4.6,4.3,4.8,6.2,4,4
5023,4.5,4.6,4.8,5.5,5.3,4.9,5.1,6.2,5.6,7.4,8.3,8.8,8.2,8.3,8.1,6.8,5.9,5,4.5,4.5,7.8,4.7,4.2
5025,4.9,5.5,5.8,6.1,6.6,5.9,6.1,5.8,5.8,8,8.1,8.2,7.1,7.4,6.7,5.5,4.5,4.4,3.8,3.9,6.2,4.1,3.9
5027,5.1,5.1,5.9,6.6,6.4,6.4,6.1,6.6,6.9,9.6,9.6,9.6,8.7,8.6,7,6.4,5.7,5.1,4.7,4.4,7,5.4,4.4
5029,6,4.8,5.6,6.1,5.7,5.2,5,4.9,5.5,7.4,9.3,9.4,8.8,9,7,6,5.7,4.8,4.3,4.3,6.2,4.2,3.7
5031,3.9,4.5,5.1,5.5,5.4,4.8,4.9,5.1,4.8,6.9,7.1,7,6.6,6.4,5.3,4.4,3.3,3,3,2.8,5.4,3.3,2.8
5033,3.5,4,4.7,5.2,5.1,4.4,4.6,5,4.8,7.7,7.9,8.4,7.7,7.5,5.9,5.1,3.9,3.5,3.5,3.3,5.5,3.6,3.2
5035,4.1,5.1,5.8,6.6,6.8,6.6,6.9,6.6,7.9,10.7,10.1,10.4,9.2,8.2,7.2,6.1,4.5,4.4,4.3,4.2,8.5,5.5,4
5037,4.6,5.7,6,7.3,8,7.6,7.3,7.5,6.8,8.2,8,8,7.6,7.4,6.2,5.3,4.4,4,4.1,4.2,6.2,4.4,3.7
